id,zip,state,county,poverty,price2007,price2013
144,89121,NV,clark,10.7,263500,117700
145,90027,CA,los angeles,14.6,1050800,1175400
146,22304,VA,alexandria city,8.3,367600,297100
147,33908,FL,lee,10.1,346800,199100
148,27406,NC,guilford,15.5,112500,86500
149,19124,PA,philadelphia,23.5,84700,72500
150,47906,IN,tippecanoe,19.0,148500,166300
151,92126,CA,san diego,11.1,488000,437100
152,30331,GA,fulton,14.2,159500,91000
154,2155,MA,middlesex,6.9,382900,379300
155,11233,NY,kings,21.9,403000,374500
156,90025,CA,los angeles,14.6,794800,714900
157,85281,AZ,maricopa,12.9,245400,180600
159,21215,MD,baltimore city,19.9,93900,77900
161,27610,NC,wake,8.5,121900,122200
162,92336,CA,san bernardino,12.1,497600,337300
163,98103,WA,king,9.9,466900,492900
164,92627,CA,orange,8.9,742400,644300
165,87120,NM,bernalillo,14.9,183900,172200
166,58103,ND,cass,11.5,126100,146300
167,23666,VA,hampton city,15.0,187700,157500
168,21117,MD,baltimore,19.9,305700,220300
169,22193,VA,prince william,5.0,395400,258100
170,33647,FL,hillsborough,11.6,364200,212600
171,33025,FL,broward,11.4,253500,136900
172,93309,CA,kern,18.1,293200,160400
174,91335,CA,los angeles,14.6,538300,390100
175,44077,OH,lake,6.8,152400,122000
176,33063,FL,broward,11.4,230700,107200
177,33027,FL,broward,11.4,362400,233600
179,10701,NY,westchester,7.7,453300,368200
180,99301,WA,franklin,15.5,128400,148300
182,19120,PA,philadelphia,23.5,88500,72500
183,33311,FL,broward,11.4,194300,92600
184,90731,CA,los angeles,14.6,609900,442000
185,97229,OR,washington,8.6,412700,419500
186,20878,MD,montgomery,5.1,576600,499700
187,28027,NC,cabarrus,11.1,147700,155600
188,60453,IL,cook,14.6,228900,148100
191,27858,NC,pitt,22.5,132200,130500
192,27834,NC,pitt,22.5,79500,77700
193,37130,TN,rutherford,11.8,123600,125000
194,63123,MO,saint louis,23.0,152400,122100
195,32174,FL,volusia,14.1,300100,173900
196,78501,TX,hidalgo,34.0,81300,81000
197,20019,DC,district of columbia,-1.0,210600,214800
198,94544,CA,alameda,11.0,567500,365000
199,95687,CA,solano,9.6,458100,287400
200,22204,VA,arlington,6.5,434600,435500
201,11204,NY,kings,21.9,618300,638300
202,14221,NY,erie,13.7,162300,192000
203,19020,PA,bucks,5.2,259900,222200
204,43068,OH,franklin,16.2,142300,121400
205,60641,IL,cook,14.6,331100,217600
207,95758,CA,sacramento,12.2,417700,274100
208,76028,TX,johnson,11.3,135100,128100
209,33064,FL,broward,11.4,246800,109200
210,43228,OH,franklin,16.2,109100,86200
211,43026,OH,franklin,16.2,168200,162400
212,43230,OH,franklin,16.2,165400,151900
213,93536,CA,los angeles,14.6,387100,228700
214,2301,MA,plymouth,6.5,271600,188200
215,38401,TN,maury,12.9,118700,117900
216,87121,NM,bernalillo,14.9,141200,123100
218,71913,AR,garland,18.1,129500,142700
219,19446,PA,montgomery,5.3,305000,272700
220,93257,CA,tulare,23.2,207800,131300
221,11219,NY,kings,21.9,618700,536100
222,2360,MA,plymouth,6.5,338300,275400
223,95076,CA,santa cruz,10.6,654200,349000
224,31907,GA,muscogee,18.6,107400,78200
225,23320,VA,chesapeake city,8.0,249800,217800
226,60056,IL,cook,14.6,342500,261600
229,33157,FL,miami-dade,15.3,310000,171300
230,75043,TX,dallas,16.9,123400,112000
231,33321,FL,broward,11.4,249100,115000
232,23451,VA,virginia beach city,6.6,417900,343200
233,30135,GA,douglas,10.5,152200,105700
234,95123,CA,santa clara,8.3,671500,601800
235,32225,FL,duval,12.4,226800,168000
236,60085,IL,lake,6.3,158000,82700
237,89123,NV,clark,10.7,351400,190000
238,63021,MO,saint louis,23.0,213000,197800
239,32218,FL,duval,12.4,179300,111000
240,19720,DE,new castle,10.1,176800,150100
241,80015,CO,arapahoe,11.1,240900,255400
242,15301,PA,washington,9.6,114300,123400
243,94538,CA,alameda,11.0,606400,575500
244,11368,NY,queens,12.2,407000,361200
245,6516,CT,new haven,9.5,234000,160900
246,27713,NC,durham,15.9,177400,178800
247,1960,MA,essex,10.4,362300,322900
248,90631,CA,orange,8.9,574400,440400
249,93727,CA,fresno,20.0,300000,171400
250,20874,MD,montgomery,5.1,354600,261200
251,94587,CA,alameda,11.0,654000,543600
252,48823,MI,ingham,18.1,217600,157700
253,22191,VA,prince william,5.0,380700,248900
254,92646,CA,orange,8.9,771500,680400
255,34953,FL,saint lucie,10.8,258800,125000
256,92104,CA,san diego,11.1,474400,475800
257,11203,NY,kings,21.9,400700,362900
258,29445,SC,berkeley,10.6,148800,129300
259,28601,NC,catawba,11.1,130200,116000
260,21061,MD,anne arundel,5.0,278700,224100
261,92115,CA,san diego,11.1,461000,386800
262,93306,CA,kern,18.1,281900,155300
263,30906,GA,richmond,23.9,74900,54600
264,30318,GA,fulton,14.2,167700,101400
265,77840,TX,brazos,26.2,116500,132300
266,80134,CO,douglas,2.4,292600,316600
267,63129,MO,saint louis,23.0,207200,180400
269,33021,FL,broward,11.4,327100,197600
270,11220,NY,kings,21.9,559200,573900
272,93230,CA,kings,17.2,216900,123600
273,92105,CA,san diego,11.1,405700,291100
274,33467,FL,palm beach,10.2,353800,188100
276,19067,PA,bucks,5.2,376500,324000
277,34135,FL,lee,10.1,380700,212000
279,92101,CA,san diego,11.1,565500,497700
280,30188,GA,cherokee,6.0,179400,157100
281,93274,CA,tulare,23.2,228700,134300
282,85204,AZ,maricopa,12.9,214800,146500
283,95355,CA,stanislaus,13.6,403500,225900
284,27284,NC,forsyth,14.1,150300,141200
286,8831,NJ,middlesex,6.6,353300,260700
287,43229,OH,franklin,16.2,132800,105200
288,20020,DC,district of columbia,-1.0,224200,233100
289,94080,CA,san mateo,6.0,714000,632000
290,94541,CA,alameda,11.0,557800,355800
291,91710,CA,san bernardino,12.1,518500,380800
292,14580,NY,monroe,13.3,163100,174300
293,60148,IL,du page,4.8,279300,209800
294,95014,CA,santa clara,8.3,1026900,1403800
295,45013,OH,butler,11.9,129600,113400
296,90640,CA,los angeles,14.6,530900,382300
297,31088,GA,houston,11.3,108800,108600
298,32828,FL,orange,11.6,348300,219400
299,33433,FL,palm beach,10.2,354300,207600
300,31419,GA,chatham,16.3,158200,127100
302,19134,PA,philadelphia,23.5,58200,53600
303,32256,FL,duval,12.4,222300,141500
304,14094,NY,niagara,11.9,94900,106800
305,29730,SC,york,12.1,107400,100000
306,98115,WA,king,9.9,476400,488200
307,32303,FL,leon,17.0,163300,110700
308,30127,GA,cobb,9.4,168100,127000
309,73160,OK,cleveland,10.0,97600,113900
310,33319,FL,broward,11.4,169900,67100
311,20904,MD,montgomery,5.1,486400,361000
312,17331,PA,york,8.6,191300,148300
313,27707,NC,durham,15.9,153500,160200
314,98133,WA,king,9.9,349700,330100
315,30067,GA,cobb,9.4,193200,169400
316,23223,VA,richmond city,22.4,123300,107100
317,28655,NC,burke,16.0,106100,103800
318,80634,CO,weld,11.6,184000,185600
319,92154,CA,san diego,11.1,466600,322500
320,80525,CO,larimer,12.2,237000,265900
321,94087,CA,santa clara,8.3,892900,1186800
322,95670,CA,sacramento,12.2,346100,215000
323,30909,GA,richmond,23.9,129000,114900
324,33511,FL,hillsborough,11.6,230900,144800
325,77083,TX,fort bend,8.4,129900,124000
326,95051,CA,santa clara,8.3,696400,754700
327,60615,IL,cook,14.6,228200,164800
329,97045,OR,clackamas,9.2,285200,264000
330,1201,MA,berkshire,10.8,163400,145700
332,95125,CA,santa clara,8.3,806700,871200
333,33015,FL,miami-dade,15.3,276000,149800
334,78759,TX,travis,14.6,254900,320900
336,53704,WI,dane,10.9,175500,159400
337,28078,NC,mecklenburg,11.0,212400,217700
338,89031,NV,clark,10.7,302100,151300
339,32608,FL,alachua,22.8,213700,147100
340,34711,FL,lake,9.0,298100,173200
341,19148,PA,philadelphia,23.5,144000,137600
342,30066,GA,cobb,9.4,188700,174600
343,73505,OK,comanche,18.8,80600,82200
344,95747,CA,placer,6.0,493300,378300
345,92117,CA,san diego,11.1,525700,491600
346,92128,CA,san diego,11.1,523500,519900
347,92647,CA,orange,8.9,717300,591900
350,92648,CA,orange,8.9,988500,832200
351,7728,NJ,monmouth,6.1,376600,302300
353,60004,IL,cook,14.6,360800,294100
354,74133,OK,tulsa,14.2,156000,166900
355,2780,MA,bristol,9.3,295400,216300
356,28215,NC,mecklenburg,11.0,123200,103200
357,6457,CT,middlesex,5.2,222900,194100
358,28210,NC,mecklenburg,11.0,191600,228100
359,78596,TX,hidalgo,34.0,63700,74900
360,11746,NY,suffolk,5.3,534100,395400
361,90024,CA,los angeles,14.6,992400,889700
362,30058,GA,dekalb,14.4,138600,71000
363,19131,PA,philadelphia,23.5,84900,78800
364,8527,NJ,ocean,8.4,374500,289800
365,94806,CA,contra costa,8.7,485500,225300
366,2135,MA,suffolk,19.3,286600,303000
367,55124,MN,dakota,5.4,255500,209900
368,23455,VA,virginia beach city,6.6,306600,253600
369,21218,MD,baltimore city,19.9,115600,86400
370,38305,TN,madison,18.8,129500,118900
371,94591,CA,solano,9.6,531400,285200
372,30047,GA,gwinnett,8.4,184600,151100
373,28540,NC,onslow,14.2,114400,123200
375,33436,FL,palm beach,10.2,310300,167000
376,91331,CA,los angeles,14.6,489000,303800
377,92630,CA,orange,8.9,674700,564100
378,30083,GA,dekalb,14.4,149000,67900
379,21224,MD,baltimore city,19.9,165500,141800
380,2151,MA,suffolk,19.3,319100,265100
381,37421,TN,hamilton,13.5,153500,156500
382,90036,CA,los angeles,14.6,1173800,1251400
383,45044,OH,butler,11.9,122000,98800
384,10466,NY,bronx,27.1,361500,318700
385,30040,GA,forsyth,5.2,229300,212000
387,33414,FL,palm beach,10.2,418500,261400
388,48066,MI,macomb,8.3,124300,56400
389,7055,NJ,passaic,13.4,391100,204700
390,85345,AZ,maricopa,12.9,224700,132500
391,92020,CA,san diego,11.1,478700,395000
392,99208,WA,spokane,13.1,201200,175600
394,8759,NJ,ocean,8.4,219300,122900
395,94553,CA,contra costa,8.7,582200,410100
396,79109,TX,potter,25.3,132400,128800
397,19144,PA,philadelphia,23.5,93400,91200
398,30041,GA,forsyth,5.2,273700,267700
399,32246,FL,duval,12.4,190900,119400
400,33023,FL,broward,11.4,248800,131900
402,45424,OH,montgomery,14.8,116400,94500
403,27587,NC,wake,8.5,218000,233700
404,33141,FL,miami-dade,15.3,322300,212500
405,30075,GA,fulton,14.2,312600,309100
406,94015,CA,san mateo,6.0,734000,644800
407,96797,HI,honolulu,7.8,500100,501800
408,34668,FL,pasco,11.9,141200,59300
409,32765,FL,seminole,9.1,318700,219100
410,33324,FL,broward,11.4,275600,156500
411,80219,CO,denver,17.4,166500,155800
412,53209,WI,milwaukee,18.2,93500,56000
413,28205,NC,mecklenburg,11.0,124400,133400
414,98034,WA,king,9.9,390200,381400
415,45140,OH,clermont,9.0,210800,201000
416,27705,NC,durham,15.9,175000,191100
417,33308,FL,broward,11.4,485800,338900
418,92704,CA,orange,8.9,597800,379900
419,63116,MO,saint louis city,23.0,121700,95600
420,17601,PA,lancaster,8.6,203400,194900
421,20147,VA,loudoun,3.0,543900,443400
424,85251,AZ,maricopa,12.9,282100,234400
425,92399,CA,san bernardino,12.1,419400,262800
426,6511,CT,new haven,9.5,231000,200100
427,29485,SC,dorchester,10.7,181400,162000
428,60638,IL,cook,14.6,254500,162700
429,70816,LA,east baton rouge,18.1,142000,151100
430,29464,SC,charleston,15.2,331100,320000
431,22003,VA,fairfax,5.5,544800,468300
432,19380,PA,chester,5.5,368000,332700
433,33437,FL,palm beach,10.2,371200,212100
434,53711,WI,dane,10.9,232600,232400
435,91801,CA,los angeles,14.6,550500,502300
436,30004,GA,fulton,14.2,314800,305300
437,53215,WI,milwaukee,18.2,133500,83800
438,96815,HI,honolulu,7.8,346700,388500
439,27407,NC,guilford,15.5,125600,102800
440,21206,MD,baltimore city,19.9,146700,121300
441,8021,NJ,camden,10.6,166100,103700
442,27106,NC,forsyth,14.1,151700,148400
443,28645,NC,caldwell,13.6,85400,75300
444,92056,CA,san diego,11.1,499300,380400
445,34698,FL,pinellas,11.3,233700,154500
446,30263,GA,coweta,10.1,149700,103600
447,90006,CA,los angeles,14.6,626000,471000
448,61265,IL,rock island,13.2,79700,90700
449,19711,DE,new castle,10.1,281900,241500
450,63301,MO,saint charles,4.6,167400,140400
451,98208,WA,snohomish,8.0,329600,290500
452,28227,NC,mecklenburg,11.0,127100,119000
453,27265,NC,guilford,15.5,140700,131100
454,95648,CA,placer,6.0,472700,357200
455,11374,NY,queens,12.2,553600,526900
456,93308,CA,kern,18.1,285500,154300
457,95350,CA,stanislaus,13.6,346100,174000
458,77845,TX,brazos,26.2,169400,170700
459,94086,CA,santa clara,8.3,751500,862600
461,32825,FL,orange,11.6,257400,148400
462,75093,TX,collin,6.2,344700,373200
463,11210,NY,kings,21.9,577000,549500
464,37167,TN,rutherford,11.8,139200,142500
465,90255,CA,los angeles,14.6,431200,282500
466,97405,OR,lane,14.3,275700,251600
467,97206,OR,multnomah,15.0,217700,228500
468,84404,UT,weber,10.5,143400,145500
469,97401,OR,lane,14.3,267800,242600
470,94513,CA,contra costa,8.7,629500,401400
472,44646,OH,stark,10.9,126800,110600
473,92071,CA,san diego,11.1,448900,386800
474,19145,PA,philadelphia,23.5,108200,106300
476,21207,MD,baltimore,19.9,188400,161700
477,30907,GA,columbia,6.8,129600,128500
478,22407,VA,spotsylvania,6.0,318600,217000
480,30144,GA,cobb,9.4,175900,148500
481,95035,CA,santa clara,8.3,672700,628800
483,40214,KY,jefferson,14.6,100900,105000
484,30101,GA,cobb,9.4,194800,168300
485,44124,OH,cuyahoga,15.7,153100,127300
486,19140,PA,philadelphia,23.5,50700,46400
487,72034,AR,faulkner,14.9,129500,145700
488,78753,TX,travis,14.6,130500,137100
489,22030,VA,fairfax,5.5,538400,494200
490,96817,HI,honolulu,7.8,579700,596800
491,95624,CA,sacramento,12.2,460600,300800
492,95008,CA,santa clara,8.3,725200,801300
493,98225,WA,whatcom,15.1,279700,260800
494,62704,IL,sangamon,12.8,109700,125900
495,19149,PA,philadelphia,23.5,147200,106200
496,33463,FL,palm beach,10.2,250100,108500
497,92656,CA,orange,8.9,591900,489100
498,11354,NY,queens,12.2,518100,448000
499,78758,TX,travis,14.6,126700,147500
500,92024,CA,san diego,11.1,745900,768900
501,23225,VA,richmond city,22.4,165000,144200
503,96789,HI,honolulu,7.8,568500,556200
504,43015,OH,delaware,4.5,167700,160500
505,93003,CA,ventura,8.7,616500,473000
506,97124,OR,washington,8.6,267500,254800
507,60630,IL,cook,14.6,339000,233300
508,89074,NV,clark,10.7,360600,201500
509,96720,HI,hawaii,13.1,318700,252200
510,10306,NY,richmond,10.1,450800,389900
511,34748,FL,lake,9.0,187600,121400
512,37027,TN,williamson,5.0,398800,450500
513,45238,OH,hamilton,13.0,120100,94400
514,84015,UT,davis,6.3,162800,172500
515,21228,MD,baltimore,19.9,321300,273400
516,14120,NY,niagara,11.9,101600,117700
517,94115,CA,san francisco,10.6,896900,1097600
518,33614,FL,hillsborough,11.6,179900,102200
519,48187,MI,wayne,20.8,232300,192400
520,92626,CA,orange,8.9,735300,616000
521,92201,CA,riverside,11.7,346500,177600
522,97504,OR,jackson,13.4,305800,206900
523,8873,NJ,somerset,3.3,356700,285800
524,92509,CA,riverside,11.7,431700,253800
525,85254,AZ,maricopa,12.9,542800,389500
526,7470,NJ,passaic,13.4,555400,387100
527,34997,FL,martin,8.5,287300,165400
528,63136,MO,saint louis,23.0,81000,52800
529,37040,TN,montgomery,12.7,110100,130700
530,20910,MD,montgomery,5.1,478400,477400
531,55337,MN,dakota,5.4,253200,206900
532,85351,AZ,maricopa,12.9,181700,112800
533,63031,MO,saint louis,23.0,122400,78800
534,12550,NY,orange,10.5,263300,174200
535,20744,MD,prince georges,8.1,365900,237300
536,38016,TN,shelby,20.1,173500,142900
537,19464,PA,montgomery,5.3,167200,141400
538,48038,MI,macomb,8.3,188500,155500
539,75007,TX,denton,7.1,161700,173700
540,32839,FL,orange,11.6,179800,78900
541,28025,NC,cabarrus,11.1,122100,122400
542,63303,MO,saint charles,4.6,203400,184200
543,96744,HI,honolulu,7.8,599800,656700
544,28216,NC,mecklenburg,11.0,119200,92500
545,29681,SC,greenville,12.2,175800,184500
546,60073,IL,lake,6.3,182700,99100
547,22201,VA,arlington,6.5,527900,562100
548,91786,CA,san bernardino,12.1,493500,369000
549,80123,CO,denver,17.4,245200,266500
550,19320,PA,chester,5.5,211200,188200
551,93277,CA,tulare,23.2,278800,162600
552,36695,AL,mobile,20.8,169300,142400
553,92708,CA,orange,8.9,747300,635900
554,27613,NC,wake,8.5,249200,279900
555,14150,NY,erie,13.7,93500,114400
556,33176,FL,miami-dade,15.3,328300,204800
557,85374,AZ,maricopa,12.9,282700,179700
558,75056,TX,denton,7.1,135300,163500
560,89129,NV,clark,10.7,345600,187300
561,93063,CA,ventura,8.7,563700,456700
562,37660,TN,sullivan,15.0,89400,96500
563,87105,NM,bernalillo,14.9,128900,134900
564,87109,NM,bernalillo,14.9,208800,201200
565,11691,NY,queens,12.2,402900,343900
566,96706,HI,honolulu,7.8,461500,447400
568,7083,NJ,union,8.0,383100,240000
569,73120,OK,oklahoma,15.9,122400,134400
570,97301,OR,marion,15.2,150700,126200
571,45040,OH,warren,5.1,227500,213400
572,97223,OR,washington,8.6,300900,296000
573,15237,PA,allegheny,11.6,158500,182300
576,32771,FL,seminole,9.1,229300,131400
578,37129,TN,rutherford,11.8,143200,152700
579,33065,FL,broward,11.4,286300,124900
580,35215,AL,jefferson,15.1,101500,80900
581,45069,OH,butler,11.9,199000,186400
582,49009,MI,kalamazoo,16.2,196100,176200
583,92037,CA,san diego,11.1,1171600,1210100
584,27405,NC,guilford,15.5,94900,73800
585,90049,CA,los angeles,14.6,1947500,1992000
587,94117,CA,san francisco,10.6,919800,1167700
588,92234,CA,riverside,11.7,368600,202500
589,43615,OH,lucas,16.9,114500,78800
590,37064,TN,williamson,5.0,267800,309700
591,37066,TN,sumner,9.4,153400,165600
592,85255,AZ,maricopa,12.9,777400,594900
593,29501,SC,florence,17.8,116300,121600
594,30319,GA,dekalb,14.4,340400,357200
595,27360,NC,davidson,15.1,90900,81500
597,85205,AZ,maricopa,12.9,239400,169400
598,1844,MA,essex,10.4,311100,255800
600,27606,NC,wake,8.5,158500,180900
605,90277,CA,los angeles,14.6,956800,923200
606,10940,NY,orange,10.5,238100,156000
607,92057,CA,san diego,11.1,464700,347900
608,6810,CT,fairfield,6.7,333000,209200
609,85224,AZ,maricopa,12.9,270600,188300
610,92103,CA,san diego,11.1,633700,627500
612,60435,IL,will,5.9,167000,121400
613,80918,CO,el paso,10.0,196600,192400
614,85375,AZ,maricopa,12.9,266100,181600
615,95831,CA,sacramento,12.2,456000,348300
616,91977,CA,san diego,11.1,450100,335200
617,12065,NY,saratoga,6.9,258300,253500
618,73013,OK,oklahoma,15.9,167100,180400
619,87110,NM,bernalillo,14.9,186400,175700
620,27603,NC,wake,8.5,147900,162600
621,16001,PA,butler,8.8,130600,143400
622,10469,NY,bronx,27.1,375000,333300
623,92780,CA,orange,8.9,675200,558000
624,80014,CO,arapahoe,11.1,176500,167100
625,63366,MO,saint charles,4.6,202000,167000
626,8054,NJ,burlington,5.0,270900,185500
627,8053,NJ,burlington,5.0,306400,245700
628,92130,CA,san diego,11.1,840900,899200
629,18103,PA,lehigh,9.1,171900,130800
630,38111,TN,shelby,20.1,74600,57000
631,94121,CA,san francisco,10.6,842600,966600
632,11758,NY,nassau,4.7,501900,404500
633,80526,CO,larimer,12.2,214600,237300
634,80538,CO,larimer,12.2,212000,219700
635,45324,OH,greene,9.2,106900,88500
636,45014,OH,butler,11.9,149400,129400
638,33020,FL,broward,11.4,265800,137100
639,55106,MN,ramsey,13.5,187300,125600
640,23456,VA,virginia beach city,6.6,354000,309900
642,43207,OH,franklin,16.2,88100,71200
643,27615,NC,wake,8.5,228900,245000
644,7601,NJ,bergen,5.9,360500,232400
645,91706,CA,los angeles,14.6,435700,330100
646,93720,CA,fresno,20.0,418500,277100
648,91744,CA,los angeles,14.6,451100,328000
649,92346,CA,san bernardino,12.1,394800,231200
650,86001,AZ,coconino,16.2,371900,288000
651,55113,MN,ramsey,13.5,247200,215500
652,96003,CA,shasta,13.4,316300,220300
653,37918,TN,knox,12.8,121500,121800
654,21229,MD,baltimore city,19.9,107200,90400
655,32935,FL,brevard,8.6,168200,91900
656,23608,VA,newport news city,14.7,200800,162500
658,30606,GA,clarke,28.6,155000,138000
659,28546,NC,onslow,14.2,114000,124200
660,48307,MI,oakland,8.6,234800,209700
661,80020,CO,broomfield,5.6,241100,243300
662,11706,NY,suffolk,5.3,379000,262200
663,95207,CA,san joaquin,14.2,349900,161300
664,44691,OH,wayne,8.8,124600,125000
665,2895,RI,providence,15.4,233200,130100
667,53081,WI,sheboygan,7.9,102400,84600
668,14609,NY,monroe,13.3,77200,81400
669,85711,AZ,pima,14.9,184100,121200
670,92507,CA,riverside,11.7,383000,252200
671,30016,GA,newton,11.2,140300,76700
672,98125,WA,king,9.9,388700,379600
673,8401,NJ,atlantic,11.9,225500,132500
674,32068,FL,clay,8.0,187400,131700
675,8540,NJ,mercer,9.3,610900,535400
676,92801,CA,orange,8.9,566400,388000
677,33810,FL,polk,12.8,201200,123300
678,97501,OR,jackson,13.4,233700,139100
679,20001,DC,district of columbia,-1.0,426000,516200
680,33125,FL,miami-dade,15.3,295700,145100
681,85283,AZ,maricopa,12.9,274700,201400
682,92253,CA,riverside,11.7,537400,382800
683,19403,PA,montgomery,5.3,289000,244300
684,14075,NY,erie,13.7,132300,147000
685,33615,FL,hillsborough,11.6,199300,114400
686,48044,MI,macomb,8.3,262300,233300
688,54956,WI,winnebago,9.3,139700,122200
689,92805,CA,orange,8.9,563500,384700
