1;FEC ID;STATE;STATE ABBREVIATION;GENERAL ELECTION DATE;FIRST NAME;LAST NAME;LAST NAME,  FIRST;TOTAL VOTES;PARTY;GENERAL RESULTS;TOTAL VOTES #;GENERAL %;WINNER INDICATOR;
125;P80003353;Idaho;ID;06.11.12;Mitt;Romney;Romney, Mitt;;R;420.911;;64,53%;W;
126;P80003338;Idaho;ID;06.11.12;Barack;Obama;Obama, Barack;;D;212.787;;32,62%;;
127;P20002671;Idaho;ID;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;9.453;;1,45%;;
128;P20003984;Idaho;ID;06.11.12;Jill;Stein;Stein, Jill;;IND;4.402;;0,67%;;
129;P20004263;Idaho;ID;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;IND;2.499;;0,38%;;
130;P20004685;Idaho;ID;06.11.12;Virgil H.;Goode;Goode, Virgil H.;;CON;2.222;;0,34%;;
131;n/a;Idaho;ID;06.11.12;;;;Total State Votes:;;652.274;652.274;;;
132;P80003338;Illinois;IL;06.11.12;Barack;Obama;Obama, Barack;;D;3.019.512;;57,60%;W;
133;P80003353;Illinois;IL;06.11.12;Mitt;Romney;Romney, Mitt;;R;2.135.216;;40,73%;;
134;P20002671;Illinois;IL;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;56.229;;1,07%;;
135;P20003984;Illinois;IL;06.11.12;Jill;Stein;Stein, Jill;;GRE;30.222;;0,58%;;
136;P20004685;Illinois;IL;06.11.12;Virgil / Clymer, Jim;Goode;Goode, Virgil / Clymer, Jim;;W;233;;0,00%;;
137;P20004263;Illinois;IL;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;W;185;;0,00%;;
138;P20004685;Illinois;IL;06.11.12;Virgil;Goode;Goode, Virgil;;W;182;;0,00%;;
139;P20003208;Illinois;IL;06.11.12;Jill;Reed;Reed, Jill;;W;121;;0,00%;;
140;P20005260;Illinois;IL;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;22;;0,00%;;
141;P20004974;Illinois;IL;06.11.12;Michael;Hawkins;Hawkins, Michael;;W;16;;0,00%;;
142;n/a;Illinois;IL;06.11.12;Tom;Cary;Cary, Tom;;W;14;;0,00%;;
143;P20003208;Illinois;IL;06.11.12;Jill / Cary, Tom;Reed;Reed, Jill / Cary, Tom;;W;10;;0,00%;;
144;P20004677;Illinois;IL;06.11.12;Jerry;White;White, Jerry;;W;8;;0,00%;;
145;P20003836;Illinois;IL;06.11.12;Cecil;Roth;Roth, Cecil;;W;5;;0,00%;;
146;n/a;Illinois;IL;06.11.12;Phyllis;Scherrer;Scherrer, Phyllis;;W;5;;0,00%;;
147;n/a;Illinois;IL;06.11.12;Jim;Clymer;Clymer, Jim;;W;4;;0,00%;;
148;n/a;Illinois;IL;06.11.12;Barbara;Prokopich;Prokopich, Barbara;;W;4;;0,00%;;
149;P20004677;Illinois;IL;06.11.12;Jerry / Scherrer, Phyllis;White;White, Jerry / Scherrer, Phyllis;;W;4;;0,00%;;
150;P20005260;Illinois;IL;06.11.12;Tom / Ellis, Jonathan;Hoefling;Hoefling, Tom / Ellis, Jonathan;;W;3;;0,00%;;
151;P20002218;Illinois;IL;06.11.12;Dennis;Knill;Knill, Dennis;;W;3;;0,00%;;
152;n/a;Illinois;IL;06.11.12;Roy Wayne;Tyree;Tyree, Roy Wayne;;W;3;;0,00%;;
153;P20002580;Illinois;IL;06.11.12;Paul;Chehade;Chehade, Paul;;W;2;;0,00%;;
154;P20002580;Illinois;IL;06.11.12;Paul / McAllister, Steve;Chehade;Chehade, Paul / McAllister, Steve;;W;2;;0,00%;;
155;P20004651;Illinois;IL;06.11.12;Stephen / Lopez, Christina;Durham;Durham, Stephen / Lopez, Christina;;W;2;;0,00%;;
156;n/a;Illinois;IL;06.11.12;Lynn;Maxwell;Maxwell, Lynn;;W;2;;0,00%;;
157;n/a;Illinois;IL;06.11.12;James T.;Struck;Struck, James T.;;W;2;;0,00%;;
158;P20004651;Illinois;IL;06.11.12;Stephen;Durham;Durham, Stephen;;W;1;;0,00%;;
159;n/a;Illinois;IL;06.11.12;Jonathan;Ellis;Ellis, Jonathan;;W;1;;0,00%;;
160;n/a;Illinois;IL;06.11.12;Stephen James;Frost;Frost, Stephen James;;W;1;;0,00%;;
161;n/a;Illinois;IL;06.11.12;;;;Total State Votes:;;5.242.014;5.242.014;;;
162;P80003353;Indiana;IN;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.420.543;;54,13%;W;
163;P80003338;Indiana;IN;06.11.12;Barack;Obama;Obama, Barack;;D;1.152.887;;43,93%;;
164;P20002671;Indiana;IN;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;50.111;;1,91%;;
165;P20003984;Indiana;IN;06.11.12;Jill;Stein;Stein, Jill;;W;625;;0,02%;;
166;P20004685;Indiana;IN;06.11.12;Virgil H., Jr.;Goode;Goode, Virgil H., Jr.;;W;290;;0,01%;;
167;P20005260;Indiana;IN;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;35;;0,00%;;
168;P20003968;Indiana;IN;06.11.12;Stewart;Alexander;Alexander, Stewart;;W;17;;0,00%;;
169;P20003208;Indiana;IN;06.11.12;Jill;Reed;Reed, Jill;;W;8;;0,00%;;
170;P20002424;Indiana;IN;06.11.12;Randall A.;Terry;Terry, Randall A.;;W;8;;0,00%;;
171;P20002218;Indiana;IN;06.11.12;Dennis;Knill;Knill, Dennis;;W;7;;0,00%;;
172;P20002499;Indiana;IN;06.11.12;John A., Jr.;Dummett;Dummett, John A., Jr.;;W;2;;0,00%;;
173;P20004669;Indiana;IN;06.11.12;Christina;Lopez;Lopez, Christina;;W;1;;0,00%;;
174;n/a;Indiana;IN;06.11.12;;;;Total State Votes:;;2.624.534;2.624.534;;;
175;P80003338;Iowa;IA;06.11.12;Barack;Obama;Obama, Barack;;D;822.544;;51,99%;W;
176;P80003353;Iowa;IA;06.11.12;Mitt;Romney;Romney, Mitt;;R;730.617;;46,18%;;
177;P20002671;Iowa;IA;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;12.926;;0,82%;;
178;n/a;Iowa;IA;06.11.12;;Scattered;Scattered;;W;7.442;;0,47%;;
179;P20003984;Iowa;IA;06.11.12;Jill;Stein;Stein, Jill;;IG;3.769;;0,24%;;
180;P20004685;Iowa;IA;06.11.12;Virgil;Goode;Goode, Virgil;;CON;3.038;;0,19%;;
181;P20005278;Iowa;IA;06.11.12;Jerry;Litzel;Litzel, Jerry;;NP;1.027;;0,06%;;
182;P60004454;Iowa;IA;06.11.12;James;Harris;Harris, James;;SWP;445;;0,03%;;
183;P80005572;Iowa;IA;06.11.12;Gloria;La Riva;La Riva, Gloria;;PSL;372;;0,02%;;
184;n/a;Iowa;IA;06.11.12;;;;Total State Votes:;;1.582.180;1.582.180;;;
185;P80003353;Kansas;KS;06.11.12;Mitt;Romney;Romney, Mitt;;R;692.634;;59,71%;W;
186;P80003338;Kansas;KS;06.11.12;Barack;Obama;Obama, Barack;;D;440.726;;37,99%;;
187;P20002671;Kansas;KS;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;20.456;;1,76%;;
188;P80005499;Kansas;KS;06.11.12;Chuck;Baldwin;Baldwin, Chuck;;REF;5.017;;0,43%;;
189;P20003984;Kansas;KS;06.11.12;Jill E.;Stein;Stein, Jill E.;;W;714;;0,06%;;
190;P20004685;Kansas;KS;06.11.12;Virgil;Goode;Goode, Virgil;;W;187;;0,02%;;
191;P20004263;Kansas;KS;06.11.12;"Ross ""Rocky"" C.";Anderson;"Anderson, Ross ""Rocky"" C.";;W;95;;0,01%;;
192;P20002804;Kansas;KS;06.11.12;Roseanne C.;Barr;Barr, Roseanne C.;;W;58;;0,01%;;
193;n/a;Kansas;KS;06.11.12;Kent W.;Bush;Bush, Kent W.;;W;48;;0,00%;;
194;P20002697;Kansas;KS;06.11.12;Andre;Barnett;Barnett, Andre;;W;19;;0,00%;;
195;P20005260;Kansas;KS;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;12;;0,00%;;
196;P20003208;Kansas;KS;06.11.12;Jill A.;Reed;Reed, Jill A.;;W;4;;0,00%;;
197;P20005245;Kansas;KS;06.11.12;Will;Christensen;Christensen, Will;;W;1;;0,00%;;
198;n/a;Kansas;KS;06.11.12;;;;Total State Votes:;;1.159.971;1.159.971;;;
199;P80003353;Kentucky;KY;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.087.190;;60,49%;W;
200;P80003338;Kentucky;KY;06.11.12;Barack;Obama;Obama, Barack;;D;679.370;;37,80%;;
201;P20002671;Kentucky;KY;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;17.063;;0,95%;;
202;P20002424;Kentucky;KY;06.11.12;Randall A.;Terry;Terry, Randall A.;;IND;6.872;;0,38%;;
203;P20003984;Kentucky;KY;06.11.12;Jill;Stein;Stein, Jill;;GRE;6.337;;0,35%;;
204;P20004685;Kentucky;KY;06.11.12;Virgil;Goode;Goode, Virgil;;W;245;;0,01%;;
205;P20004263;Kentucky;KY;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;W;60;;0,00%;;
206;P20005252;Kentucky;KY;06.11.12;Richard;Duncan;Duncan, Richard;;W;37;;0,00%;;
207;P20005260;Kentucky;KY;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;30;;0,00%;;
208;P20004677;Kentucky;KY;06.11.12;Jerry;White;White, Jerry;;W;4;;0,00%;;
209;P20004651;Kentucky;KY;06.11.12;Stephen;Durham;Durham, Stephen;;W;2;;0,00%;;
210;n/a;Kentucky;KY;06.11.12;Louis Todd;House;House, Louis Todd;;W;1;;0,00%;;
211;P20002218;Kentucky;KY;06.11.12;Dennis;Knill;Knill, Dennis;;W;1;;0,00%;;
212;n/a;Kentucky;KY;06.11.12;;;;Total State Votes:;;1.797.212;1.797.212;;;
213;P80003353;Louisiana;LA;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.152.262;;57,78%;W;
214;P80003338;Louisiana;LA;06.11.12;Barack;Obama;Obama, Barack;;D;809.141;;40,58%;;
215;P20002671;Louisiana;LA;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;18.157;;0,91%;;
216;P20003984;Louisiana;LA;06.11.12;Jill;Stein;Stein, Jill;;GRE;6.978;;0,35%;;
217;P20004685;Louisiana;LA;06.11.12;Virgil;Goode;Goode, Virgil;;CON;2.508;;0,13%;;
218;P20002630;Louisiana;LA;06.11.12;Sheila;Tittle;Tittle, Sheila;;WTP;1.767;;0,09%;;
219;P20004263;Louisiana;LA;06.11.12;Ross;Anderson;Anderson, Ross;;JUS;1.368;;0,07%;;
220;P20004636;Louisiana;LA;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;622;;0,03%;;
221;P20000089;Louisiana;LA;06.11.12;Jack;Fellure;Fellure, Jack;;P;518;;0,03%;;
222;P60004454;Louisiana;LA;06.11.12;James;Harris;Harris, James;;SWP;389;;0,02%;;
223;P20004677;Louisiana;LA;06.11.12;Jerry;White;White, Jerry;;SEP;355;;0,02%;;
224;n/a;Louisiana;LA;06.11.12;;;;Total State Votes:;;1.994.065;1.994.065;;;
225;P80003338;Maine;ME;06.11.12;Barack;Obama;Obama, Barack;;D;401.306;;56,27%;W;
226;P80003353;Maine;ME;06.11.12;Mitt;Romney;Romney, Mitt;;R;292.276;;40,98%;;
227;P20002671;Maine;ME;06.11.12;Gary E.;Johnson;Johnson, Gary E.;;LIB;9.352;;1,31%;;
228;P20003984;Maine;ME;06.11.12;Jill;Stein;Stein, Jill;;GI;8.119;;1,14%;;
229;P80000748;Maine;ME;06.11.12;Ronald E.;Paul;Paul, Ronald E.;;W;2.035;;0,29%;;
230;P20004263;Maine;ME;06.11.12;Ross C.;Anderson;Anderson, Ross C.;;W;62;;0,01%;;
231;P20003208;Maine;ME;06.11.12;Jill Ann;Reed;Reed, Jill Ann;;W;30;;0,00%;;
232;n/a;Maine;ME;06.11.12;;;;Total State Votes:;;713.180;713.180;;;
233;P80003338;Maryland;MD;06.11.12;Barack;Obama;Obama, Barack;;D;1.677.844;;61,97%;W;
234;P80003353;Maryland;MD;06.11.12;Mitt;Romney;Romney, Mitt;;R;971.869;;35,90%;;
235;P20002671;Maryland;MD;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;30.195;;1,12%;;
236;P20003984;Maryland;MD;06.11.12;Jill;Stein;Stein, Jill;;GRE;17.110;;0,63%;;
237;n/a;Maryland;MD;06.11.12;;Other;Other;;W;8.788;;0,32%;;
238;P20005146;Maryland;MD;06.11.12;Santa;Claus;Claus, Santa;;W;625;;0,02%;;
239;P20004685;Maryland;MD;06.11.12;Virgil;Goode;Goode, Virgil;;W;418;;0,02%;;
240;P20004263;Maryland;MD;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;W;204;;0,01%;;
241;P20002804;Maryland;MD;06.11.12;Roseanne;Barr;Barr, Roseanne;;W;64;;0,00%;;
242;n/a;Maryland;MD;06.11.12;James;Clymer;Clymer, James;;W;35;;0,00%;;
243;P20004693;Maryland;MD;06.11.12;Merlin;Miller;Miller, Merlin;;W;26;;0,00%;;
244;P20002697;Maryland;MD;06.11.12;Andre;Barnett;Barnett, Andre;;W;19;;0,00%;;
245;P20004651;Maryland;MD;06.11.12;Stephen;Durham;Durham, Stephen;;W;19;;0,00%;;
246;P20004750;Maryland;MD;06.11.12;Tiffany Renee;Briscoe;Briscoe, Tiffany Renee;;W;18;;0,00%;;
247;n/a;Maryland;MD;06.11.12;Matthew;Lydick;Lydick, Matthew;;W;18;;0,00%;;
248;P20005252;Maryland;MD;06.11.12;Richard;Duncan;Duncan, Richard;;W;15;;0,00%;;
249;P20002580;Maryland;MD;06.11.12;Paul;Chehade;Chehade, Paul;;W;13;;0,00%;;
250;n/a;Maryland;MD;06.11.12;Fred Donald, Jr.;Dickson;Dickson, Fred Donald, Jr.;;W;8;;0,00%;;
251;P20003869;Maryland;MD;06.11.12;David M.;Crosby;Crosby, David M.;;W;7;;0,00%;;
252;P20002903;Maryland;MD;06.11.12;Darrell;Hykes;Hykes, Darrell;;W;7;;0,00%;;
253;P20003208;Maryland;MD;06.11.12;Jill;Reed;Reed, Jill;;W;7;;0,00%;;
254;n/a;Maryland;MD;06.11.12;Michael David;Boyles;Boyles, Michael David;;W;5;;0,00%;;
