prev_word_1,next_word_1,prev_word_2,next_word_2,sent_num,cap,word,tag,adj_count,adv_count,v_count,n_count,pre,suf,prev_tag
Welfare,handling,State,of,13,True,Department's,NN,0,0,0,0,,,
Department's,of,Welfare,federal,13,False,handling,NN,0,0,6,3,,ing,
of,funds,handling,granted,13,False,federal,JJ,4,0,0,2,,,
federal,granted,of,for,13,False,funds,NN,0,0,6,4,,,
funds,for,federal,child,13,False,granted,VB,1,0,7,0,,ed,
for,welfare,granted,services,13,False,child,NN,0,0,0,4,,,
child,services,for,in,13,False,welfare,NN,0,0,0,3,,e,
welfare,in,child,foster,13,False,services,NN,0,0,3,16,,,
in,homes,services,.,13,False,foster,JJ,1,0,3,1,,er,
foster,.,in,,13,False,homes,NN,0,0,2,9,,,
the,items,of,in,14,False,major,JJ,8,0,1,4,,,
major,in,the,the,14,False,items,NN,0,0,0,5,,,
the,County,in,general,14,True,Fulton,NP,0,0,0,1,,,
Fulton,general,the,assistance,14,True,County,NN,0,0,0,2,,,
County,assistance,Fulton,program,14,False,general,JJ,6,0,1,3,,,
general,program,County,'',14,False,assistance,NN,0,0,0,2,,e,
assistance,'',general,",",14,False,program,NN,0,0,2,8,,,
the,said,",",",",14,False,jury,NN,0,0,0,2,,,
jury,",",the,but,14,False,said,VB,1,0,11,0,,,
the,Welfare,but,Department,14,True,State,NN,0,0,3,8,,e,
State,Department,the,``,14,True,Welfare,NN,0,0,0,3,,e,
Welfare,``,State,has,14,True,Department,NN,0,0,0,3,,,
has,fit,``,to,14,False,seen,VB,0,0,24,0,,,
seen,to,has,distribute,14,False,fit,JJ,3,0,9,4,,,
to,these,fit,funds,14,False,distribute,VB,0,0,10,0,,e,
these,through,distribute,the,14,False,funds,NN,0,0,6,4,,,
the,departments,through,of,14,False,welfare,NN,0,0,0,3,,e,
welfare,of,the,all,14,False,departments,NN,0,0,0,3,,,
the,in,all,the,14,False,counties,NN,0,0,0,2,,,
the,with,in,the,14,False,state,NN,0,0,3,8,,e,
the,of,with,Fulton,14,False,exception,NN,0,0,0,3,,ion,
of,County,exception,",",14,True,Fulton,NP,0,0,0,1,,,
Fulton,",",of,which,14,True,County,NN,0,0,0,2,,,
which,none,",",of,14,False,receives,VB,0,0,13,0,,,
this,.,of,,14,False,money,NN,0,0,0,3,,,
The,said,,they,15,False,jurors,NN,0,0,0,1,,,
jurors,they,The,realize,15,False,said,VB,1,0,11,0,,,
they,``,said,a,15,False,realize,VB,0,0,6,0,,e,
a,distribution,``,of,15,False,proportionate,JJ,3,0,0,0,,e,
proportionate,of,a,these,15,False,distribution,NN,0,0,0,4,,ion,
these,might,of,disable,15,False,funds,NN,0,0,6,4,,,
might,this,funds,program,15,False,disable,VB,0,0,2,0,,e,
this,in,disable,our,15,False,program,NN,0,0,2,8,,,
less,counties,our,'',15,False,populous,JJ,1,0,0,0,,,
populous,'',less,.,15,False,counties,NN,0,0,0,2,,,
,",",,``,16,True,Nevertheless,RB,0,1,0,0,,,
we,that,``,in,16,False,feel,VB,0,0,13,4,,,
the,Fulton,in,County,16,False,future,NN,4,0,0,3,,e,
future,County,the,should,16,True,Fulton,NP,0,0,0,1,,,
Fulton,should,future,receive,16,True,County,NN,0,0,0,2,,,
should,some,County,portion,16,False,receive,VB,0,0,13,0,,e,
some,of,receive,these,16,False,portion,NN,0,0,1,7,,ion,
these,funds,of,'',16,False,available,JJ,3,0,0,0,,e,
available,'',these,",",16,False,funds,NN,0,0,6,4,,,
the,said,",",.,16,False,jurors,NN,0,0,0,1,,,
jurors,.,the,,16,False,said,VB,1,0,11,0,,,
``,to,,do,17,True,Failure,NN,0,0,0,7,,e,
will,to,this,place,17,False,continue,VB,0,0,10,0,,e,
to,a,continue,disproportionate,17,False,place,VB,0,0,16,16,,e,
a,burden,place,'',17,False,disproportionate,JJ,2,0,0,0,,e,
disproportionate,'',a,on,17,False,burden,NN,0,0,2,4,,,
on,taxpayers,'',.,17,True,Fulton,NP,0,0,0,1,,,
Fulton,.,on,,17,False,taxpayers,NN,0,0,0,1,,,
The,also,,commented,18,False,jury,NN,0,0,0,2,,,
jury,commented,The,on,18,False,also,RB,0,1,0,0,,,
also,on,jury,the,18,False,commented,VB,0,0,3,0,,ed,
the,ordinary's,on,court,18,True,Fulton,NP,0,0,0,1,,,
Fulton,court,the,which,18,False,ordinary's,NN,0,0,0,0,,,
ordinary's,which,Fulton,has,18,False,court,NN,0,0,3,11,,,
under,for,been,its,18,False,fire,NN,0,0,9,9,,e,
its,in,for,the,18,False,practices,NN,0,0,5,5,,,
the,of,in,appraisers,18,False,appointment,NN,0,0,0,6,,,
of,",",appointment,guardians,18,False,appraisers,NN,0,0,0,2,,,
",",and,appraisers,administrators,18,False,guardians,NN,0,0,0,1,,,
and,and,guardians,the,18,False,administrators,NN,0,0,0,3,,,
the,of,and,fees,18,False,awarding,NN,0,0,2,1,,ing,
of,and,awarding,compensation,18,False,fees,NN,0,0,1,2,,,
and,.,fees,,18,False,compensation,NN,0,0,0,3,,ion,
,protected,,,19,True,Wards,NN,0,0,1,7,,,
Wards,,,,19,False,protected,VB,2,0,2,0,,ed,
The,said,,it,20,False,jury,NN,0,0,0,2,,,
jury,it,The,found,20,False,said,VB,1,0,11,0,,,
it,the,said,court,20,False,found,VB,1,0,19,1,,,
the,``,found,has,20,False,court,NN,0,0,3,11,,,
has,into,``,its,20,False,incorporated,VB,3,0,4,0,in,ed,
its,procedures,into,the,20,False,operating,VB,2,0,7,0,,ing,
operating,the,its,recommendations,20,False,procedures,NN,0,0,0,4,,,
the,'',procedures,of,20,False,recommendations,NN,0,0,0,3,,,
two,grand,of,juries,20,False,previous,JJ,3,0,0,0,,,
previous,juries,two,",",20,False,grand,JJ,8,0,0,2,,,
grand,",",previous,the,20,False,juries,NN,0,0,0,2,,,
the,Bar,",",Association,20,True,Atlanta,NP,0,0,0,2,,,
Atlanta,Association,the,and,20,True,Bar,NN,0,0,4,15,,,
Bar,and,Atlanta,an,20,True,Association,NN,0,0,0,8,,ion,
an,citizens,and,committee,20,False,interim,NN,1,0,0,1,in,,
interim,committee,an,.,20,False,citizens,NN,0,0,0,1,,,
citizens,.,interim,,20,False,committee,NN,0,0,0,2,,e,
These,should,``,serve,21,False,actions,NN,0,0,2,10,,,
should,to,actions,protect,21,False,serve,VB,0,0,15,1,,e,
to,in,serve,fact,21,False,protect,VB,0,0,2,0,,,
in,and,protect,in,21,False,fact,NN,0,0,0,4,,,
in,the,and,court's,21,False,effect,NN,0,0,2,6,,,
the,wards,effect,from,21,False,court's,NN,0,0,0,0,,,
court's,from,the,undue,21,False,wards,NN,0,0,1,7,,,
from,costs,wards,and,21,False,undue,JJ,4,0,0,0,un,e,
undue,and,from,its,21,False,costs,NN,0,0,2,4,,,
its,and,and,elected,21,False,appointed,VB,4,0,3,0,,ed,
and,servants,appointed,from,21,False,elected,VB,1,0,2,0,,ed,
elected,from,and,unmeritorious,21,False,servants,NN,0,0,0,2,,,
from,criticisms,servants,'',21,False,unmeritorious,JJ,1,0,0,0,un,,
unmeritorious,'',from,",",21,False,criticisms,NN,0,0,0,3,,,
the,said,",",.,21,False,jury,NN,0,0,0,2,,,
jury,.,the,,21,False,said,VB,1,0,11,0,,,
Regarding,new,,multi-million-dollar,22,True,Atlanta's,NP,0,0,0,0,,,
Atlanta's,multi-million-dollar,Regarding,airport,22,False,new,JJ,11,1,0,0,,,
new,airport,Atlanta's,",",22,False,multi-million-dollar,JJ,0,0,0,0,,,
multi-million-dollar,",",new,the,22,False,airport,NN,0,0,0,1,,,
the,recommended,",",``,22,False,jury,NN,0,0,0,2,,,
jury,``,the,that,22,False,recommended,VB,0,0,3,0,,ed,
the,management,when,takes,22,False,new,JJ,11,1,0,0,,,
new,takes,the,charge,22,False,management,NN,0,0,0,2,,,
management,charge,new,Jan.,22,False,takes,VB,0,0,42,2,,,
takes,Jan.,management,1,22,False,charge,NN,0,0,25,15,,e,
charge,1,takes,the,22,True,Jan.,NP,0,0,0,0,,,
the,be,1,operated,22,False,airport,NN,0,0,0,1,,,
be,in,airport,a,22,False,operated,VB,0,0,7,0,,ed,
a,that,in,will,22,False,manner,NN,0,0,0,3,,er,
will,political,that,influences,22,False,eliminate,VB,0,0,7,0,,e,
eliminate,influences,will,'',22,False,political,JJ,3,0,0,0,,,
political,'',eliminate,.,22,False,influences,NN,0,0,3,5,in,,
The,did,,not,23,False,jury,NN,0,0,0,2,,,
not,",",did,but,23,False,elaborate,VB,2,0,4,0,,e,
it,that,but,``,23,False,added,VB,0,0,6,0,,ed,
be,surveillance,should,of,23,False,periodic,JJ,2,0,0,0,,,
periodic,of,be,the,23,False,surveillance,NN,0,0,0,1,,e,
the,practices,of,of,23,False,pricing,VB,0,0,2,1,,ing,
pricing,of,the,the,23,False,practices,NN,0,0,5,5,,,
the,for,of,the,23,False,concessionaires,NN,0,0,0,1,,,
the,of,for,keeping,23,False,purpose,NN,0,0,2,3,,e,
of,the,purpose,prices,23,False,keeping,VB,0,0,22,3,,ing,
the,reasonable,keeping,'',23,False,prices,NN,0,0,2,7,,,
prices,'',the,.,23,False,reasonable,JJ,3,0,0,0,,e,
,jail,,deputies,24,True,Ask,VB,0,0,7,0,,,
Ask,deputies,,,24,False,jail,NN,0,0,1,1,,,
jail,,Ask,,24,False,deputies,NN,0,0,0,4,,,
other,",",On,the,25,False,matters,NN,0,0,1,6,,,
the,recommended,",",that,25,False,jury,NN,0,0,0,2,,,
jury,that,the,:,25,False,recommended,VB,0,0,3,0,,ed,
Four,deputies,,be,26,False,additional,JJ,1,0,0,0,,,
additional,be,Four,employed,26,False,deputies,NN,0,0,0,4,,,
be,at,deputies,the,26,False,employed,VB,2,0,2,0,,ed,
the,County,at,Jail,26,True,Fulton,NP,0,0,0,1,,,
Fulton,Jail,the,and,26,True,County,NN,0,0,0,2,,,
County,and,Fulton,``,26,True,Jail,NN,0,0,1,1,,,
a,",",``,medical,26,False,doctor,NN,0,0,3,4,,,
",",intern,doctor,or,26,False,medical,JJ,3,0,0,1,,,
medical,or,",",extern,26,False,intern,NN,0,0,2,1,in,,
or,be,intern,employed,26,False,extern,NN,0,0,0,1,,,
be,for,extern,night,26,False,employed,VB,2,0,2,0,,ed,
for,and,employed,weekend,26,False,night,NN,0,0,0,8,,,
and,duty,night,at,26,False,weekend,NN,0,0,1,1,,,
weekend,at,and,the,26,False,duty,NN,0,0,0,3,,,
the,'',at,.,26,False,jail,NN,0,0,1,1,,,
,legislators,,``,28,True,Fulton,NP,0,0,0,1,,,
Fulton,``,,work,28,False,legislators,NN,0,0,0,1,,,
``,with,legislators,city,28,False,work,VB,0,0,27,7,,,
with,officials,work,to,28,False,city,NN,0,0,0,3,,,
city,to,with,pass,28,False,officials,NN,0,0,0,2,,,
to,enabling,officials,legislation,28,False,pass,VB,1,0,25,17,,,
pass,legislation,to,that,28,False,enabling,VB,1,0,1,0,,ing,
enabling,that,pass,will,28,False,legislation,NN,0,0,0,2,,ion,
will,the,that,establishment,28,False,permit,VB,0,0,3,3,,,
the,of,permit,a,28,False,establishment,NN,0,0,0,7,,,
a,and,of,equitable,28,False,fair,JJ,10,2,1,4,,,
and,'',fair,pension,28,False,equitable,JJ,1,0,0,0,,e,
'',plan,equitable,for,28,False,pension,NN,0,0,1,1,,ion,
pension,for,'',city,28,False,plan,NN,0,0,4,3,,,
for,employes,plan,.,28,False,city,NN,0,0,0,3,,,
city,.,for,,28,False,employes,NN,0,0,2,0,,,
The,praised,,the,29,False,jury,NN,0,0,0,2,,,
jury,the,The,administration,29,False,praised,VB,0,0,1,0,,ed,
the,and,praised,operation,29,False,administration,NN,0,0,0,6,,ion,
and,of,administration,the,29,False,operation,NN,0,0,0,11,,ion,
the,Police,of,Department,29,True,Atlanta,NP,0,0,0,2,,,
Atlanta,Department,the,",",29,True,Police,NN,0,0,1,1,,e,
Police,",",Atlanta,the,29,True,Department,NN,0,0,0,3,,,
the,Tax,",",Commissioner's,29,True,Fulton,NP,0,0,0,1,,,
Fulton,Commissioner's,the,Office,29,True,Tax,NN,0,0,4,1,,,
Tax,Office,Fulton,",",29,True,Commissioner's,NN,0,0,0,0,,,
Commissioner's,",",Tax,the,29,True,Office,NN,0,0,0,7,,e,
the,and,",",Alpharetta,29,True,Bellwood,NP,0,0,0,0,,,
and,prison,Bellwood,farms,29,True,Alpharetta,NP,0,0,0,0,,,
Alpharetta,farms,and,",",29,False,prison,NN,0,0,0,2,,,
prison,",",Alpharetta,Grady,29,False,farms,NN,0,0,3,1,,,
",",Hospital,farms,and,29,True,Grady,NP,0,0,0,0,,,
Grady,and,",",the,29,True,Hospital,NN,0,0,0,2,,,
the,Health,and,Department,29,True,Fulton,NP,0,0,0,1,,,
Fulton,Department,the,.,29,True,Health,NN,0,0,0,2,,,
Health,.,Fulton,,29,True,Department,NN,0,0,0,3,,,
,William,,B.,30,True,Mayor,NN,0,0,0,1,,,
Mayor,B.,,Hartsfield,30,True,William,NP,0,0,0,0,,,
William,Hartsfield,Mayor,filed,30,True,B.,NP,0,0,0,0,,,
B.,filed,William,suit,30,True,Hartsfield,NP,0,0,0,0,,,
Hartsfield,suit,B.,for,30,False,filed,VB,0,0,5,0,,ed,
filed,for,Hartsfield,divorce,30,False,suit,NN,0,0,4,6,,,
for,from,suit,his,30,False,divorce,NN,0,0,2,1,,e,
his,",",from,Pearl,30,False,wife,NN,0,0,0,1,,e,
",",Williams,wife,Hartsfield,30,True,Pearl,NP,0,0,1,3,,,
Pearl,Hartsfield,",",",",30,True,Williams,NP,0,0,0,6,,,
Williams,",",Pearl,in,30,True,Hartsfield,NP,0,0,0,0,,,
in,Superior,",",Court,30,True,Fulton,NP,0,0,0,1,,,
Fulton,Court,in,Friday,30,True,Superior,JJ,7,0,0,6,,,
Superior,Friday,Fulton,.,30,True,Court,NN,0,0,3,11,,,
His,charged,,mental,31,False,petition,NN,0,0,1,2,,ion,
petition,mental,His,cruelty,31,False,charged,VB,4,0,25,0,,ed,
charged,cruelty,petition,.,31,False,mental,JJ,5,0,0,0,,,
mental,.,charged,,31,False,cruelty,NN,0,0,0,3,,,
The,was,,married,32,False,couple,NN,0,0,4,5,,e,
was,Aug.,couple,2,32,False,married,VB,2,0,2,1,,ed,
married,2,was,",",32,True,Aug.,NP,0,0,0,0,,,
a,",",have,William,33,False,son,NN,0,0,0,2,,,
",",Berry,son,Jr.,33,True,William,NP,0,0,0,0,,,
William,Jr.,",",",",33,True,Berry,NP,0,0,1,3,,,
Berry,",",William,and,33,True,Jr.,NP,1,0,0,0,,,
a,",",and,Mrs.,33,False,daughter,NN,0,0,0,1,,er,
",",J.,daughter,M.,33,True,Mrs.,NP,0,0,0,1,,,
Mrs.,M.,",",Cheshire,33,True,J.,NP,0,0,0,0,,,
J.,Cheshire,Mrs.,of,33,True,M.,NP,0,0,0,0,,,
M.,of,J.,Griffin,33,True,Cheshire,NP,0,0,0,0,,e,
of,.,Cheshire,,33,True,Griffin,NP,0,0,0,1,,,
,for,,the,34,True,Attorneys,NN,0,0,0,1,,,
the,said,for,that,34,False,mayor,NN,0,0,0,1,,,
mayor,that,the,an,34,False,said,VB,1,0,11,0,,,
an,property,that,settlement,34,False,amicable,JJ,1,0,0,0,,e,
amicable,settlement,an,has,34,False,property,NN,0,0,0,5,,,
property,has,amicable,been,34,False,settlement,NN,0,0,0,7,,,
been,upon,has,.,34,False,agreed,VB,1,0,7,0,,ed,
agreed,.,been,,34,False,upon,RB,0,0,0,0,,,
The,listed,,the,35,False,petition,NN,0,0,1,2,,ion,
petition,the,The,mayor's,35,False,listed,VB,1,0,5,0,,ed,
the,occupation,listed,as,35,False,mayor's,NN,0,0,0,0,,,
mayor's,as,the,``,35,False,occupation,NN,0,0,0,5,,ion,
``,'',as,and,35,False,attorney,NN,0,0,0,1,,,
his,as,and,71,35,False,age,NN,0,0,3,5,,e,
It,his,,wife's,36,False,listed,VB,1,0,5,0,,ed,
his,age,listed,as,36,False,wife's,NN,0,0,0,0,,,
wife's,as,his,74,36,False,age,NN,0,0,3,5,,e,
and,of,74,birth,36,False,place,NN,0,0,16,16,,e,
of,as,place,Opelika,36,False,birth,NN,0,0,1,5,,,
as,",",birth,Ala.,36,True,Opelika,NP,0,0,0,0,,,
",",.,Opelika,,36,True,Ala.,NP,0,0,0,0,,,
The,said,,that,37,False,petition,NN,0,0,1,2,,ion,
petition,that,The,the,37,False,said,VB,1,0,11,0,,,
the,has,that,not,37,False,couple,NN,0,0,4,5,,e,
not,together,has,as,37,False,lived,VB,0,0,7,0,,ed,
lived,as,not,man,37,False,together,RB,1,6,0,0,,er,
